imo,position_dt_tm,latitude,longitude
9595321,2019-01-14 03:22:14+00,16.50670052,-62.31544876
9595321,2019-01-14 03:07:13+00,16.43971634,-62.26321793
9595321,2019-01-14 02:58:24+00,16.4015007,-62.2314682
9595321,2019-01-14 02:52:01+00,16.37394905,-62.20835114
9632179,2019-01-14 02:34:41+00,46.89671707,-7.013700008
9595321,2019-01-14 02:32:03+00,16.28759956,-62.13594818
9595321,2019-01-14 02:17:01+00,16.22315025,-62.08150101
9595321,2019-01-14 02:01:31+00,16.1560173,-62.02621841
9247455,2019-01-14 01:57:39+00,15.04500008,71.76000214
9595321,2019-01-14 01:52:57+00,16.11818314,-61.99554825
9595321,2019-01-14 01:45:02+00,16.08361626,-61.96766663
9595321,2019-01-14 01:39:48+00,16.06103325,-61.94940186
9595321,2019-01-14 01:27:49+00,16.00880051,-61.90738297
9595321,2019-01-14 01:12:51+00,15.94711685,-61.85139847
9595321,2019-01-14 01:01:50+00,15.9085331,-61.80548477
9595321,2019-01-14 00:48:31+00,15.91063309,-61.73161697
9595321,2019-01-14 00:39:30+00,15.9211998,-61.68041611
9632179,2019-01-14 00:38:05+00,46.39500046,-7.401666641
9595321,2019-01-14 00:33:54+00,15.92793369,-61.64799881
9247455,2019-01-14 00:20:17+00,14.79679203,71.96684265
9595321,2019-01-14 00:16:13+00,15.95558357,-61.55063248
9595321,2019-01-14 00:09:55+00,15.98715019,-61.5359993
9595321,2019-01-14 00:00:42+00,16.03803253,-61.52375031
9595321,2019-01-13 23:44:37+00,16.12301636,-61.50916672
9595321,2019-01-13 23:38:07+00,16.14450073,-61.5187149
9247455,2019-01-13 23:37:26+00,14.68630314,72.05995941
9595321,2019-01-13 23:19:21+00,16.19079971,-61.54136658
9595321,2019-01-13 23:06:21+00,16.22344971,-61.53504944
9632179,2019-01-13 22:55:49+00,45.95500183,-7.736666679
9595321,2019-01-13 22:53:41+00,16.23456573,-61.53771591
9595321,2019-01-13 22:46:20+00,16.23463249,-61.53775024
9247455,2019-01-13 22:30:37+00,14.50911522,72.20083618
9595321,2019-01-13 22:28:19+00,16.23463249,-61.53775024
9595321,2019-01-13 22:22:20+00,16.23463249,-61.53775024
9595321,2019-01-13 22:01:21+00,16.23463249,-61.53775024
9595321,2019-01-13 21:46:20+00,16.23463249,-61.53775024
9247455,2019-01-13 21:41:06+00,14.37918377,72.30460358
9595321,2019-01-13 21:34:18+00,16.23463249,-61.53775024
9595321,2019-01-13 21:28:21+00,16.23463249,-61.53775024
9595321,2019-01-13 21:13:20+00,16.23463249,-61.53775024
9247455,2019-01-13 21:11:57+00,14.30384541,72.36642456
9595321,2019-01-13 21:04:19+00,16.23463249,-61.53775024
9595321,2019-01-13 20:52:20+00,16.23464966,-61.53775024
9595321,2019-01-13 20:34:20+00,16.23463249,-61.53775024
9595321,2019-01-13 20:19:19+00,16.23464966,-61.53775024
9632179,2019-01-13 20:18:05+00,45.27261734,-8.256616592
9595321,2019-01-13 20:07:18+00,16.23464966,-61.53775024
9595321,2019-01-13 20:01:19+00,16.23464966,-61.53775024
9595321,2019-01-13 19:43:18+00,16.23463249,-61.53775024
9595321,2019-01-13 19:37:20+00,16.23463249,-61.53775024
9595321,2019-01-13 19:25:19+00,16.23463249,-61.53775024
9595321,2019-01-13 19:07:21+00,16.23463249,-61.53775024
